,Periodo,Alfilorios Volumen (hm3),Alfilorios Porcentaje,Arbón Volumen (hm3),Arbón Porcentaje,La Barca Volumen (hm3),La Barca Porcentaje,Doiras Volumen (hm3),Doiras Porcentaje,Salime Volumen (hm3),Salime Porcentaje,Tanes - Rioseco Volumen (hm3),Tanes - Rioseco Porcentaje
0,1999-01,5.79,70.96,35.65,88.24,22.1,66.65,104.22,90.94,125.61,47.29,22.28,59.32
1,1999-02,5.63,66.94,35.24,87.23,22.69,68.43,108.04,94.28,155.88,58.68,28.2,75.08
2,1999-03,6.47,76.93,34.48,85.35,27.77,83.75,110.57,96.48,203.59,76.64,25.37,67.55
3,1999-04,6.61,78.6,34.48,85.35,28.63,86.34,108.04,94.28,222.27,83.68,26.77,71.27
4,1999-05,6.72,79.91,35.43,87.7,29.74,89.69,113.27,98.84,152.48,57.4,32.05,85.33
5,1999-06,5.48,65.16,35.73,88.44,32.2,97.11,3.24,2.83,94.28,35.49,29.2,77.74
6,1999-07,4.31,51.25,36.39,90.07,32.56,98.19,0.28,0.24,105.84,39.85,25.12,66.88
7,1999-08,3.36,39.95,31.49,77.95,32.33,97.5,0.33,0.29,105.97,39.89,17.69,47.1
8,1999-09,2.81,33.41,35.95,88.99,29.09,87.73,0.28,0.24,109.51,41.23,14.31,38.1
9,1999-10,2.64,31.39,33.92,83.96,31.51,95.02,5.28,4.61,142.57,53.67,14.29,38.05
10,1999-11,3.99,47.44,35.46,87.77,25.93,78.2,107.56,93.86,192.75,72.56,18.53,49.33
11,1999-12,5.37,63.85,33.68,83.37,27.55,83.08,107.51,93.81,215.49,81.12,21.71,57.8
12,1999,4.93,58.82,34.83,86.2,28.51,85.97,64.05,55.89,152.19,57.29,22.96,61.13
13,2000-01,5.59,66.47,31.96,79.11,26.48,79.86,102.51,89.45,131.02,49.32,20.31,54.07
14,2000-02,6.12,72.77,34.97,86.56,25.63,77.29,110.34,96.28,120.79,45.47,27.03,71.97
15,2000-03,6.08,72.3,36.75,90.97,25.37,76.51,111.59,97.37,112.38,42.31,19.52,51.97
16,2000-04,7.63,90.73,35.05,86.76,29.88,90.11,110.03,96.01,226.27,85.18,29.53,78.62
17,2000-05,8.15,96.91,34.32,84.95,32.37,97.62,111.46,97.26,164.34,61.87,32.22,85.78
18,2000-06,7.46,88.7,35.24,87.23,32.42,97.77,78.67,68.65,137.38,51.72,31.55,84.0
19,2000-07,5.85,69.56,30.05,74.38,32.82,98.98,78.78,68.74,143.0,53.83,25.06,66.72
20,2000-08,4.44,52.79,28.37,70.22,32.56,98.19,107.6,93.89,115.15,43.35,19.17,51.04
21,2000-09,3.36,39.95,28.5,70.55,32.71,98.64,75.2,65.62,133.15,50.13,12.26,32.64
22,2000-10,3.17,37.69,30.05,74.38,32.18,97.05,89.68,78.26,125.01,47.06,19.97,53.17
23,2000-11,4.54,53.98,35.13,86.96,27.74,83.66,112.36,98.05,252.33,94.99,28.5,75.88
24,2000-12,4.78,56.84,33.81,83.69,25.07,75.6,107.43,93.74,238.72,89.87,23.49,62.54
25,2000,5.6,66.56,32.85,81.31,29.6,89.27,99.64,86.94,158.29,59.59,24.05,64.03
26,2001-01,6.53,77.65,33.36,82.57,27.25,82.18,108.79,94.93,249.54,93.94,30.35,80.8
27,2001-02,7.49,89.06,36.25,89.73,27.25,82.18,101.07,88.19,227.61,85.69,27.95,74.41
28,2001-03,8.43,100.24,34.8,86.14,28.56,86.13,109.41,95.47,246.21,92.69,29.43,78.36
29,2001-04,8.13,96.67,33.47,82.85,30.37,91.59,102.0,89.01,235.18,88.54,32.45,86.4
30,2001-05,8.38,99.64,35.86,88.76,16.99,51.24,103.32,90.16,256.6,96.6,32.85,87.46
31,2001-06,7.9,93.94,35.95,88.99,31.83,95.99,105.42,91.99,226.94,85.44,31.67,84.32
32,2001-07,6.18,73.48,36.14,89.46,32.82,98.98,101.37,88.46,194.22,73.12,26.79,71.33
33,2001-08,5.5,65.4,35.76,88.52,32.64,98.43,83.02,72.44,168.71,63.51,19.54,52.02
34,2001-09,4.06,48.28,35.73,88.44,32.31,97.44,106.38,92.83,119.14,44.85,13.08,34.82
35,2001-10,4.5,53.51,36.68,90.79,32.56,98.19,70.94,61.9,98.48,37.07,9.13,24.31
36,2001-11,3.12,37.1,36.28,89.8,31.97,96.41,85.29,74.42,81.25,30.59,25.98,69.17
37,2001-12,3.37,40.07,35.59,88.09,32.26,97.29,54.04,47.16,66.34,24.98,23.94,63.74
38,2001,6.13,72.92,35.49,87.84,29.73,89.67,94.25,82.25,180.85,68.08,25.26,67.26
39,2002-01,3.39,40.31,34.91,86.41,32.91,99.25,34.67,30.25,99.26,37.37,31.38,83.55
40,2002-02,3.5,41.62,35.4,87.62,17.09,51.54,60.75,53.01,170.31,64.11,32.81,87.35
41,2002-03,4.3,51.13,35.84,88.71,23.56,71.05,113.49,99.03,182.81,68.82,29.74,79.18
42,2002-04,5.46,64.92,34.29,84.88,30.3,91.38,102.59,89.52,200.76,75.58,32.33,86.08
43,2002-05,6.72,79.91,36.52,90.4,16.66,50.24,98.86,86.27,225.0,84.7,32.68,87.01
44,2002-06,7.44,88.47,36.47,90.27,15.89,47.92,106.94,93.32,227.84,85.77,33.05,87.99
45,2002-07,7.53,89.54,36.22,89.65,28.68,86.49,91.91,80.2,217.81,82.0,30.59,81.44
46,2002-08,7.39,87.87,36.75,90.97,32.37,97.62,77.08,67.26,214.34,80.69,28.81,76.7
47,2002-09,7.39,87.87,34.64,85.74,32.62,98.37,98.49,85.94,184.69,69.53,27.7,73.75
48,2002-10,6.95,82.64,36.5,90.35,27.82,83.9,113.04,98.64,158.45,59.65,30.35,80.8
49,2002-11,6.8,80.86,34.43,85.22,24.02,72.44,109.05,95.16,205.89,77.51,28.55,76.01
50,2002-12,7.84,93.22,31.29,77.45,25.44,76.72,110.56,96.48,239.88,90.31,28.23,75.16
51,2002,6.23,74.03,35.27,87.31,25.61,77.24,93.12,81.26,193.92,73.0,30.52,81.25
52,2003-01,7.93,94.29,33.36,82.57,30.44,91.8,108.3,94.5,254.42,95.78,29.14,77.58
53,2003-02,7.88,93.7,33.76,83.56,24.62,74.25,98.41,85.87,213.19,80.26,30.71,81.76
54,2003-03,7.39,87.87,32.27,79.88,25.63,77.29,96.76,84.43,195.57,73.63,29.8,79.34
55,2003-04,6.66,79.19,33.47,82.85,14.54,43.85,105.47,92.03,211.05,79.45,32.43,86.34
56,2003-05,6.22,73.96,35.7,88.37,14.89,44.9,96.27,84.01,214.77,80.85,32.48,86.48
57,2003-06,4.28,50.89,33.55,83.05,20.2,60.92,92.86,81.03,202.76,76.33,28.66,76.31
58,2003-07,4.57,54.34,35.54,87.97,26.91,81.15,109.14,95.24,168.59,63.47,23.31,62.06
59,2003-08,3.83,45.54,35.59,88.09,27.79,83.81,83.24,72.64,157.45,59.27,16.02,42.65
60,2003-09,2.83,33.65,31.85,78.84,28.79,86.82,95.06,82.95,116.2,43.75,9.0,23.96
61,2003-10,2.79,33.17,35.89,88.84,28.86,87.03,81.44,71.07,105.79,39.83,10.63,28.3
62,2003-11,4.65,55.29,34.86,86.29,26.39,79.58,102.68,89.6,164.88,62.07,31.54,83.97
63,2003-12,6.84,81.33,32.11,79.48,22.58,68.09,98.82,86.23,173.16,65.19,28.92,77.0
64,2003,5.49,65.27,34.0,84.15,24.3,73.29,97.37,84.97,181.49,68.32,25.22,67.15
65,2004-01,7.7,91.56,32.47,80.37,24.86,74.97,94.94,82.85,230.55,86.79,32.37,86.18
66,2004-02,7.79,92.63,34.08,84.36,24.87,75.0,93.29,81.41,202.0,76.05,27.11,72.18
67,2004-03,7.93,94.29,34.24,84.75,21.98,66.29,98.28,85.76,181.59,68.36,30.29,80.64
68,2004-04,7.9,93.94,33.74,83.52,31.31,94.42,91.83,80.13,215.78,81.23,34.51,91.88
69,2004-05,7.93,94.29,34.16,84.55,31.97,96.41,102.64,89.56,258.96,97.49,33.9,90.26
70,2004-06,7.35,87.4,34.08,84.36,32.75,98.76,105.77,92.3,248.42,93.52,32.53,86.61
71,2004-07,5.3,63.02,39.51,97.8,32.97,99.43,99.36,86.7,237.4,89.37,28.68,76.36
72,2004-08,5.11,60.76,35.18,87.08,32.91,99.25,102.85,89.75,188.3,70.89,21.89,58.28
73,2004-09,2.96,35.2,35.16,87.03,32.91,99.25,101.16,88.27,116.49,43.85,15.9,42.33
74,2004-10,0.0,0.0,36.8,91.09,29.59,89.23,95.26,83.12,115.44,43.46,12.22,32.53
75,2004-11,0.0,0.0,33.08,81.88,26.65,80.37,94.17,82.17,105.79,39.83,31.32,83.39
76,2004-12,0.39,4.64,34.24,84.75,25.1,75.69,96.07,83.83,116.15,43.73,31.28,83.28
77,2004,5.03,59.81,34.73,85.96,28.99,87.42,97.97,85.49,184.74,69.55,27.67,73.66
78,2005-01,2.47,29.37,33.6,83.17,23.26,70.15,104.78,91.43,142.68,53.71,27.96,74.44
79,2005-02,3.75,44.59,32.73,81.02,24.58,74.13,104.05,90.79,110.2,41.49,27.65,73.62
80,2005-03,5.24,62.31,34.43,85.22,28.91,87.18,101.03,88.16,146.15,55.02,29.65,78.94
81,2005-04,6.82,81.09,34.51,85.42,30.65,92.43,105.94,92.44,217.3,81.81,32.9,87.59
82,2005-05,7.43,88.35,33.71,83.44,31.42,94.75,114.27,99.71,230.02,86.59,34.46,91.75
83,2005-06,7.62,90.61,33.71,83.44,32.91,99.25,87.21,76.1,212.54,80.01,32.84,87.43
84,2005-07,6.18,73.48,31.7,78.47,32.66,98.49,93.33,81.44,177.69,66.89,28.8,76.68
85,2005-08,5.01,59.57,32.53,80.52,32.71,98.64,77.4,67.54,166.09,62.53,21.9,58.31
86,2005-09,4.64,55.17,35.65,88.24,32.64,98.43,102.59,89.52,126.82,47.74,19.11,50.88
87,2005-10,4.46,53.03,34.19,84.63,31.97,96.41,88.52,77.24,118.99,44.8,32.28,85.94
88,2005-11,4.59,54.58,33.76,83.56,21.98,66.29,94.09,82.1,92.95,34.99,28.45,75.75
89,2005-12,5.16,61.36,33.89,83.89,21.2,63.93,86.11,75.14,113.5,42.73,26.69,71.06
90,2005,5.28,62.79,33.7,83.42,28.74,86.67,96.61,84.3,154.58,58.19,28.56,76.03
91,2006-01,6.31,75.03,32.5,80.45,22.73,68.55,98.7,86.13,165.67,62.37,29.05,77.34
92,2006-02,6.53,77.65,33.47,82.85,25.1,75.69,106.46,92.9,218.31,82.19,28.48,75.83
93,2006-03,7.51,89.3,33.05,81.81,23.56,71.05,102.13,89.12,233.81,88.02,32.06,85.36
94,2006-04,7.68,91.32,33.97,84.08,31.56,95.18,100.32,87.54,216.65,81.56,35.32,94.04
95,2006-05,6.91,82.16,33.58,83.12,31.75,95.75,104.17,90.9,191.14,71.96,33.34,88.77
96,2006-06,5.94,70.63,31.98,79.16,31.28,94.33,95.22,83.09,188.3,70.89,29.44,78.38
97,2006-07,4.62,54.94,34.03,84.23,32.51,98.04,97.91,85.44,163.38,61.51,23.83,63.45
98,2006-08,3.88,46.14,34.64,85.74,32.88,99.16,71.74,62.6,165.79,62.41,18.85,50.19
99,2006-09,3.0,35.67,33.29,82.4,32.71,98.64,71.27,62.19,146.15,55.02,14.42,38.39
100,2006-10,2.89,34.36,33.31,82.45,27.43,82.72,98.45,85.91,207.3,78.04,13.91,37.03
101,2006-11,2.91,34.6,32.01,79.23,28.53,86.04,107.38,93.7,228.14,85.89,19.52,51.97
102,2006-12,3.18,37.81,33.02,81.73,22.43,67.64,108.92,95.04,206.88,77.88,29.06,77.37
103,2006,5.11,60.8,33.24,82.27,28.54,86.07,96.89,84.55,194.29,73.14,25.61,68.18
104,2007-01,3.05,36.27,33.05,81.81,19.29,58.17,99.11,86.48,180.43,67.93,24.14,64.27
105,2007-02,4.24,50.42,34.21,84.68,29.31,88.39,110.07,96.05,260.92,98.23,31.99,85.17
106,2007-03,5.17,61.47,33.08,81.88,21.06,63.51,109.63,95.66,215.63,81.18,32.3,86.0
107,2007-04,7.25,86.21,34.97,86.56,29.69,89.54,103.57,90.38,233.43,87.88,32.77,87.25
108,2007-05,7.9,93.94,33.36,82.57,30.44,91.8,100.57,87.76,235.49,88.65,35.71,95.08
109,2007-06,7.6,90.37,34.32,84.95,32.91,99.25,105.42,91.99,229.49,86.4,36.21,96.41
110,2007-07,7.01,83.35,34.38,85.09,32.67,98.52,105.77,92.3,210.26,79.16,32.88,87.54
111,2007-08,6.68,79.43,34.21,84.68,32.51,98.04,94.41,82.38,212.04,79.83,32.06,85.36
112,2007-09,6.46,76.81,35.18,87.08,29.76,89.75,102.47,89.42,191.74,72.18,33.02,87.91
113,2007-10,6.06,72.06,33.95,84.04,29.67,89.48,79.96,69.77,189.35,71.28,29.1,77.48
114,2007-11,6.0,71.34,34.91,86.41,29.51,88.99,97.79,85.33,151.45,57.02,29.39,78.25
115,2007-12,6.11,72.65,34.35,85.03,22.06,66.53,91.79,80.1,121.47,45.73,29.07,77.4
116,2007,6.13,72.86,34.16,84.56,28.24,85.16,100.05,87.3,202.64,76.29,31.55,84.01
117,2008-01,5.47,65.04,33.77,83.59,20.58,62.06,101.58,88.64,151.68,57.1,28.98,77.16
118,2008-02,5.11,60.76,34.67,85.82,21.43,64.63,105.42,91.99,150.77,56.76,28.83,76.76
119,2008-03,5.27,62.66,33.84,83.76,24.57,74.1,104.22,90.94,220.8,83.12,31.96,85.09
120,2008-04,6.48,77.05,33.81,83.69,28.83,86.94,115.0,100.35,246.68,92.87,35.07,93.37
121,2008-05,7.9,93.94,33.89,83.89,32.75,98.76,108.39,94.58,245.11,92.28,36.49,97.15
122,2008-06,7.9,93.94,34.32,84.95,32.84,99.04,104.22,90.94,244.32,91.98,36.27,96.57
123,2008-07,7.71,91.68,34.48,85.35,32.49,97.98,103.79,90.57,247.71,93.25,34.45,91.72
124,2008-08,7.05,83.83,35.65,88.24,32.84,99.04,102.55,89.49,226.72,85.35,29.99,79.85
125,2008-09,5.93,70.51,33.97,84.08,32.75,98.76,106.2,92.67,189.15,71.21,23.46,62.46
126,2008-10,5.16,61.36,35.21,87.15,32.24,97.23,97.79,85.33,146.38,55.11,19.2,51.12
127,2008-11,6.53,77.65,33.23,82.25,20.87,62.94,95.99,83.76,144.49,54.4,28.74,76.52
128,2008-12,7.9,93.94,35.29,87.35,24.62,74.25,96.4,84.12,214.62,80.8,26.66,70.98
129,2008,6.53,77.69,34.34,85.01,28.07,84.64,103.46,90.28,202.37,76.19,30.01,79.89
130,2009-01,7.9,93.94,35.37,87.55,31.61,95.33,110.23,96.19,261.34,98.39,24.9,66.29
131,2009-02,7.9,93.94,33.46,82.82,21.8,65.74,109.32,95.39,221.02,83.21,29.84,79.45
132,2009-03,7.9,93.94,35.13,86.96,21.27,64.14,102.26,89.23,184.11,69.31,31.51,83.89
133,2009-04,7.9,93.94,34.21,84.68,26.69,80.49,106.03,92.52,192.21,72.36,32.77,87.25
134,2009-05,7.9,93.94,34.83,86.21,30.51,92.01,108.92,95.04,250.33,94.24,36.43,96.99
135,2009-06,7.39,87.87,34.83,86.21,32.75,98.76,112.45,98.12,256.93,96.73,36.23,96.46
136,2009-07,6.7,79.67,34.72,85.94,32.6,98.31,108.39,94.58,251.61,94.72,32.0,85.2
137,2009-08,6.16,73.25,35.62,88.17,32.75,98.76,100.78,87.94,207.44,78.09,26.7,71.09
138,2009-09,5.39,64.09,35.4,87.62,32.31,97.44,77.75,67.85,186.91,70.36,22.36,59.53
139,2009-10,4.51,53.63,33.84,83.76,32.22,97.17,73.49,64.13,138.18,52.02,17.1,45.53
140,2009-11,4.43,52.68,34.05,84.28,15.43,46.53,88.75,77.44,177.18,66.7,26.19,69.73
141,2009-12,4.62,54.94,34.56,85.55,15.64,47.17,106.64,93.05,222.42,83.73,27.41,72.98
142,2009,6.56,77.98,34.67,85.81,27.13,81.82,100.42,87.62,212.47,79.99,28.62,76.2
143,2010-01,5.61,66.71,34.27,84.83,20.84,62.85,101.79,88.82,254.66,95.87,27.92,74.33
144,2010-02,6.48,77.05,34.0,84.16,13.81,41.65,90.92,79.34,202.14,76.1,28.43,75.69
145,2010-03,6.83,81.21,36.17,89.53,25.25,76.15,101.79,88.82,227.17,85.52,33.18,88.34
146,2010-04,7.13,84.78,34.8,86.14,25.23,76.09,104.09,90.83,220.8,83.12,35.61,94.81
147,2010-05,7.9,93.94,35.37,87.55,27.18,81.97,103.62,90.42,215.13,80.99,35.82,95.37
148,2010-06,7.9,93.94,35.4,87.62,32.17,97.01,104.56,91.24,237.1,89.26,36.22,96.43
149,2010-07,7.56,89.89,34.48,85.35,32.73,98.7,104.17,90.9,157.81,59.41,35.38,94.2
150,2010-08,6.66,79.19,33.29,82.4,32.49,97.98,89.91,78.46,124.66,46.93,30.28,80.62
151,2010-09,5.91,70.27,34.21,84.68,32.58,98.25,90.42,78.9,114.49,43.1,25.27,67.28
152,2010-10,6.25,74.32,35.62,88.17,30.46,91.86,85.44,74.56,118.07,44.45,26.81,71.38
153,2010-11,7.9,93.94,35.1,86.88,16.98,51.21,103.28,90.12,187.51,70.59,24.25,64.56
154,2010-12,7.9,93.94,32.32,80.0,16.02,48.31,109.41,95.47,163.38,61.51,23.92,63.69
