"Temperaturas medias y extremas, precipitación y horas de sol"

"Periodo";"Aeropuerto Precipitación total (mm)"
"1990-01";49.9
"1990-02";50.8
"1990-03";30.1
"1990-04";194.8
"1990-05";57.6
"1990-06";62.4
"1990-07";10.8
"1990-08";29.7
"1990-09";13.8
"1990-10";134.0
"1990-11";237.0
"1990-12";147.9
"1990";1018.8
"1991-01";81.9
"1991-02";130.7
"1991-03";87.4
"1991-04";102.1
"1991-05";83.4
"1991-06";44.1
"1991-07";19.0
"1991-08";8.0
"1991-09";156.7
"1991-10";150.8
"1991-11";120.9
"1991-12";4.0
"1991";989.0
"1992-01";35.4
"1992-02";16.0
"1992-03";72.4
"1992-04";78.3
"1992-05";42.8
"1992-06";104.1
"1992-07";31.2
"1992-08";241.1
"1992-09";45.7
"1992-10";387.2
"1992-11";65.3
"1992-12";108.7
"1992";1228.2
"1993-01";30.9
"1993-02";36.3
"1993-03";65.0
"1993-04";125.6
"1993-05";73.8
"1993-06";84.5
"1993-07";49.8
"1993-08";123.2
"1993-09";118.2
"1993-10";124.8
"1993-11";99.4
"1993-12";155.1
"1993";1086.6
"1994-01";152.2
"1994-02";51.3
"1994-03";45.8
"1994-04";125.0
"1994-05";92.7
"1994-06";29.4
"1994-07";37.8
"1994-08";46.0
"1994-09";181.1
"1994-10";61.4
"1994-11";44.9
"1994-12";228.0
"1994";1095.6
"1995-01";146.7
"1995-02";151.9
"1995-03";123.7
"1995-04";38.1
"1995-05";45.7
"1995-06";30.4
"1995-07";99.4
"1995-08";46.7
"1995-09";119.1
"1995-10";29.1
"1995-11";109.2
"1995-12";167.4
"1995";1107.4
"1996-01";51.0
"1996-02";163.0
"1996-03";128.1
"1996-04";41.6
"1996-05";123.1
"1996-06";25.8
"1996-07";67.8
"1996-08";82.5
"1996-09";90.8
"1996-10";41.1
"1996-11";286.1
"1996-12";121.1
"1996";1222.0
"1997-01";192.4
"1997-02";15.3
"1997-03";0.9
"1997-04";6.1
"1997-05";102.1
"1997-06";68.2
"1997-07";66.4
"1997-08";185.7
"1997-09";66.2
"1997-10";164.2
"1997-11";172.3
"1997-12";127.8
"1997";1167.6
"1998-01";61.7
"1998-02";34.9
"1998-03";43.7
"1998-04";245.1
"1998-05";69.7
"1998-06";31.0
"1998-07";63.5
"1998-08";29.4
"1998-09";66.7
"1998-10";128.5
"1998-11";108.8
"1998-12";54.2
"1998";937.2
"1999-01";84.1
"1999-02";106.4
"1999-03";122.6
"1999-04";125.6
"1999-05";88.4
"1999-06";18.1
"1999-07";20.6
"1999-08";22.2
"1999-09";118.7
"1999-10";75.1
"1999-11";175.8
"1999-12";155.1
"1999";1112.7
"2000-01";101.4
"2000-02";40.0
"2000-03";63.8
"2000-04";174.8
"2000-05";26.5
"2000-06";25.5
"2000-07";58.3
"2000-08";..
"2000-09";..
"2000-10";..
"2000-11";..
"2000-12";..
"2000";..
"2001-01";153.8
"2001-02";60.1
"2001-03";161.1
"2001-04";69.3
"2001-05";61.6
"2001-06";36.4
"2001-07";32.7
"2001-08";61.1
"2001-09";143.4
"2001-10";62.6
"2001-11";83.9
"2001-12";37.8
"2001";963.8
"2002-01";21.0
"2002-02";81.2
"2002-03";33.7
"2002-04";82.7
"2002-05";116.9
"2002-06";126.8
"2002-07";33.9
"2002-08";142.0
"2002-09";55.1
"2002-10";76.6
"2002-11";115.2
"2002-12";113.6
"2002";998.7
"2003-01";176.5
"2003-02";66.7
"2003-03";37.1
"2003-04";34.0
"2003-05";22.1
"2003-06";53.5
"2003-07";49.3
"2003-08";29.9
"2003-09";33.5
"2003-10";196.1
"2003-11";185.6
"2003-12";131.2
"2003";1015.5
"2004-01";106.6
"2004-02";57.3
"2004-03";82.6
"2004-04";64.3
"2004-05";64.9
"2004-06";43.7
"2004-07";30.5
"2004-08";36.1
"2004-09";55.3
"2004-10";130.8
"2004-11";78.7
"2004-12";94.8
"2004";845.6
"2005-01";60.5
"2005-02";82.9
"2005-03";56.4
"2005-04";106.1
"2005-05";56.0
"2005-06";17.3
"2005-07";24.7
"2005-08";28.4
"2005-09";70.8
"2005-10";135.2
"2005-11";181.6
"2005-12";176.0
"2005";995.9
"2006-01";101.7
"2006-02";83.9
"2006-03";49.7
"2006-04";75.4
"2006-05";38.0
"2006-06";16.7
"2006-07";44.1
"2006-08";42.7
"2006-09";69.8
"2006-10";118.2
"2006-11";84.3
"2006-12";107.3
"2006";831.8
"2007-01";88.7
"2007-02";110.3
"2007-03";114.4
"2007-04";110.7
"2007-05";93.3
"2007-06";45.4
"2007-07";94.3
"2007-08";66.0
"2007-09";31.2
"2007-10";54.3
"2007-11";64.4
"2007-12";50.5
"2007";923.5
"2008-01";49.1
"2008-02";24.1
"2008-03";125.2
"2008-04";145.8
"2008-05";139.1
"2008-06";51.0
"2008-07";47.6
"2008-08";52.4
"2008-09";52.6
"2008-10";157.6
"2008-11";231.0
"2008-12";145.1
"2008";1220.6
"2009-01";136.9
"2009-02";65.7
"2009-03";78.3
"2009-04";91.6
"2009-05";62.7
"2009-06";36.0
"2009-07";47.6
"2009-08";79.2
"2009-09";32.3
"2009-10";34.7
"2009-11";189.6
"2009-12";150.2
"2009";1004.8
"2010-01";174.5
"2010-02";77.4
"2010-03";46.2
"2010-04";23.5
"2010-05";85.9
"2010-06";278.6
"2010-07";11.4
"2010-08";22.3
"2010-09";43.8
"2010-10";172.2
"2010-11";240.2
"2010-12";164.7
"2010";1340.7
"2011-01";160.7
"2011-02";64.8
"2011-03";78.0
"2011-04";23.6
"2011-05";55.5
"2011-06";51.1
"2011-07";87.7
"2011-08";52.6
"2011-09";44.1
"2011-10";54.3
"2011-11";142.8
"2011-12";135.7
"2011";950.9
"2012-01";58.9
"2012-02";57.1
"2012-03";23.6
"2012-04";208.4
"2012-05";43.4
"2012-06";83.1
"2012-07";19.4
"2012-08";54.2
"2012-09";12.9
"2012-10";116.5
"2012-11";178.2
"2012-12";73.1
"2012";928.8
"2013-01";227.0
"2013-02";217.9
"2013-03";215.0
"2013-04";141.2
"2013-05";122.2
"2013-06";51.5
"2013-07";5.5
"2013-08";28.7
"2013-09";60.4
"2013-10";60.4
"2013-11";169.4
"2013-12";67.8
"2013";1367.0
"2014-01";180.2
"2014-02";95.9
"2014-03";149.5
"2014-04";51.2
"2014-05";73.5
"2014-06";23.9
"2014-07";46.4
"2014-08";30.2
"2014-09";75.6
"2014-10";85.2
"2014-11";154.7
"2014-12";155.8
"2014";1122.1
"2015-01";156.9
"2015-02";197.9
"2015-03";108.6
"2015-04";71.7
"2015-05";39.5
"2015-06";28.5
"2015-07";38.9
"2015-08";50.2
"2015-09";55.4
"2015-10";102.7
"2015-11";80.7
"2015-12";26.7
"2015";957.7
"2016-01";181.7
"2016-02";214.1
"2016-03";171.1
"2016-04";94.2
"2016-05";74.1
"2016-06";70.6
"2016-07";36.2
"2016-08";21.5
"2016-09";116.9
"2016-10";47.1
"2016-11";194.8
"2016-12";39.7
"2016";1262.0
"2017-01";56.6
"2017-02";124.9
"2017-03";60.4
"2017-04";47.5
"2017-05";88.5
"2017-06";72.0
"2017-07";21.5
"2017-08";55.8
"2017-09";94.3
"2017-10";17.9
"2017-11";133.9
"2017-12";189.9
"2017";963.2
"2018-01";120.0
"2018-02";132.2
"2018-03";130.2
"2018-04";52.1
"2018-05";105.8
"2018-06";97.2
"2018-07";69.8
"2018-08";64.7
"2018-09";63.2
"2018-10";174.1
"2018-11";126.1
"2018-12";36.3
"2018";1171.7
"2019-01";205.0
"2019-02";48.3
"2019-03";39.9
"2019-04";93.1
"2019-05";67.9
"2019-06";41.1
"2019-07";41.5
"2019-08";31.0
"2019-09";31.5
"2019-10";169.7
"2019-11";333.1
"2019-12";223.1
"2019";1325.2
"2020-01";68.7
"2020-02";29.8
"2020-03";113.4
"2020-04";38.0
"2020-05";46.8
"2020-06";67.1
"2020-07";17.0
"2020-08";107.9
"2020-09";95.9
"2020-10";237.4
"2020-11";32.9
"2020-12";396.9
"2020";1251.8
"2021-01";198.2
"2021-02";127.9
"2021-03";20.7
"2021-04";37.0
"2021-05";56.6
"2021-06";128.6
"2021-07";30.8
"2021-08";33.1
"2021-09";95.0
"2021-10";90.5
"2021-11";208.5
"2021-12";177.2
"2021";1204.1
"2022-01";76.2
"2022-02";61.8
"2022-03";98.7
"2022-04";134.0
"2022-05";47.3
"2022-06";71.9
"2022-07";17.7
"2022-08";55.2
"2022-09";58.8
"2022-10";42.4
"2022-11";130.6
"2022-12";101.1
"2022";895.7
"2023-01";243.5
